column,importance
26,0
trans_platform_3,0
trans_platform_4,0
trans_platform_5,0
23,0
product4_amount,0
product5_amount,0
1,0
29,0
9,0
10,0
13,0
14,0
15,0
17,0
22,0
trans_platform_2,0
trans_tunnel_in_0,0
24,0
trans_tunnel_out_2,0
service2_cnt,0
trans_tunnel_in_1,0
service1_cnt,0
agreement1,0
trans_tunnel_in_2,0
trans_tunnel_in_3,0
trans_tunnel_out_0,0
trans_tunnel_out_3,0
trans_tunnel_out_1,0
0,1
21,4
op_type_6,5
19,5
3,7
trans_platform_0,7
18,8
6,8
25,8
op_type_3,11
op_mode_3,13
5,14
op_type_8,14
16,14
trans_tunnel_in_5,14
op_type_0,14
op_net_type_0,14
op_mode_2,15
op_device_48h_n,16
op_device_n,18
8,18
12,18
op_mode_9,19
trans_tunnel_in_4,20
op_type_7,22
op_type_4,25
11,26
trans_ip_3_n,27
trans_platform_1,32
trans_type2_2,32
trans_ip_3_std,33
trans_tunnel_out_perc,33
product1_amount,34
op_mode_7,35
op_type_2,35
op_type_1,37
20,37
trans_ip_3_nan_perc,37
op_mode_4,38
op_mode_6,39
27,39
op_type_9,44
op_mode_0,45
op_mode_8,46
product3_amount,47
op_net_type_2,48
service1_amt,50
trans_type2_1,51
trans_type1_3,56
trans_type1_4,56
op_net_type_1,58
op_channel_3,59
trans_type2_4,59
op_type_5,60
op_net_type_3,60
trans_type2_0,65
op_mode_1,67
30,69
trans_type1_2,71
trans_type2_3,72
trans_tunnel_out_std,76
op_channel_1,76
trans_tunnel_in_n,78
trans_ip_3_perc,80
trans_platform_48h_n,80
op_ip_3_nan_perc,81
verified,83
agreement4,86
trans_tunnel_n,88
2,91
trans_ip_48h_n,92
op_ip_3_n,95
card_b_cnt,98
op_ip_n,98
provider,109
trans_ip_perc,109
op_channel_4,112
card_c_cnt,112
op_channel_0,113
trans_ip_3_ch_freq,120
trans_platform_n,121
op_channel_2,128
4,129
trans_ip_n,132
city_44,133
op_mode_std,135
trans_tunnel_in_nan_perc,137
agreement2,141
28,142
op_mode_5,143
trans_platform_perc,146
city_10,147
trans_type2_std,147
n_op,150
city_46,152
city_20,152
city_39,152
op_ip_48h_n,152
op_type_std,153
7,155
agreement3,155
city_1,156
city_27,158
city_28,158
city_43,158
city_42,162
trans_platform_std,164
regist_type,169
city_2,169
city_15,169
city_29,172
city_47,172
city_30,174
card_d_cnt,175
balance1,175
op_channel_n,177
card_a_cnt,179
city_19,179
op_ip_3_std,179
trans_tunnel_in_std,180
city_49,181
op_ip_3_perc,182
trans_type2_perc,182
balance,186
op_ip_perc,187
level,189
op_channel_std,190
city_11,194
balance2_avg,200
city_35,202
balance2,202
city_3,204
city_13,205
trans_type1_0,205
city_7,206
trans_tunnel_in_perc,207
trans_ip_nan_perc,208
city_38,210
city_9,214
op_ip_std,215
city_25,217
city_26,218
city_32,222
city_34,222
city_17,223
balance1_avg,224
city_14,225
trans_type1_perc,226
sex,229
trans_type1_std,230
city_21,230
city_36,236
op1_cnt,243
city_22,243
op_ip_3_ch_freq,245
city_5,247
city_18,248
city_6,251
city_33,253
city_8,254
op_type_perc,258
city_24,258
trans_ip_std,261
city_41,262
trans_amount_max,262
city_48,266
op_mode_perc,267
op_48h_n,269
city_0,269
city_40,276
city_4,279
trans_amount_std,287
op_net_type_std,287
op_mode_n,291
op_type_n,291
service3,291
city_23,297
city_37,298
op_device_std,299
trans_48h_n,299
city_31,309
trans_type1_1,316
product2_amount,320
login_days_cnt,323
city_12,327
n_trans,334
trans_amount_48h_n,340
city_45,342
city_16,348
balance_avg,355
op_channel_perc,397
agreement_total,398
product6_amount,400
op_net_type_nan_perc,404
op2_cnt,404
login_cnt_period2,423
acc_count,428
op_ip_nan_perc,435
op_net_type_perc,460
login_cnt_period1,472
op_device_nan_perc,489
op_device_perc,499
ip_cnt,560
login_cnt_avg,572
trans_amount_avg,626
age,648
using_time,698
product7_cnt,733
product7_fail_cnt,1155
