column,importance
trans_tunnel_out_1,0
trans_tunnel_out_0,0
province_13,0
trans_tunnel_out_2,0
province_9,0
province_3,0
province_29,0
province_26,0
province_25,0
province_24,0
province_23,0
product4_amount,0
province_17,0
province_16,0
trans_tunnel_out_3,0
province_1,0
province_10,0
province_11,0
trans_tunnel_in_5,0
trans_tunnel_in_3,0
province_14,0
trans_tunnel_in_1,0
trans_tunnel_in_0,0
service2_cnt,0
trans_platform_5,0
service1_cnt,0
trans_platform_4,0
trans_platform_3,0
trans_platform_2,0
trans_tunnel_in_2,0
agreement1,0
op_type_6,1
province_22,1
trans_platform_0,1
province_0,1
op_net_type_0,2
province_15,2
province_6,2
op_device_48h_n,2
province_5,3
province_19,3
op_type_5,4
province_8,4
op_net_type_2,4
op_type_4,5
op_mode_6,6
op_net_type_3,6
op_net_type_1,8
province_21,11
op_mode_4,11
product5_amount,12
trans_tunnel_in_4,13
trans_ip_3_n,13
province_12,14
op_type_2,15
trans_type2_2,16
op_type_3,16
province_27,16
op_mode_1,18
op_device_n,18
op_mode_8,18
op_type_1,18
trans_ip_3_nan_perc,19
trans_ip_48h_n,20
op_type_8,22
op_type_9,23
op_type_7,24
op_ip_3_nan_perc,25
trans_type1_4,27
op_channel_2,27
op_mode_9,28
province_18,28
trans_tunnel_in_n,30
op_mode_7,30
op_mode_3,31
agreement4,32
trans_type2_3,33
trans_type1_3,33
op_mode_0,34
trans_ip_3_std,34
trans_tunnel_out_perc,34
trans_type2_0,35
op_channel_3,35
service1_amt,36
product1_amount,37
op_channel_4,39
trans_type2_1,43
op_type_0,44
trans_platform_1,45
op_channel_0,45
province_20,46
product3_amount,49
trans_platform_48h_n,51
province_2,52
op_ip_48h_n,54
trans_type2_4,54
verified,57
trans_type1_2,57
trans_ip_3_perc,57
province_30,61
card_c_cnt,62
op_ip_3_n,63
card_b_cnt,63
balance2_avg,69
op_mode_2,73
op_mode_5,73
province_4,83
op_ip_n,85
city_10,88
trans_ip_3_ch_freq,90
trans_tunnel_n,92
trans_platform_perc,98
agreement2,99
trans_type2_perc,99
trans_platform_n,103
city_44,104
trans_ip_perc,105
province_28,111
card_d_cnt,112
provider,113
province_7,118
op_channel_n,120
city_17,120
regist_type,127
city_46,130
city_21,132
balance1,133
op_channel_1,134
agreement3,139
city_26,141
op_mode_n,141
trans_ip_n,151
city_27,151
city_39,151
trans_type1_0,154
city_6,157
city_47,157
op_type_std,159
balance,160
balance2,160
city_42,161
city_1,164
trans_tunnel_in_std,168
sex,171
card_a_cnt,175
trans_tunnel_in_perc,175
level,178
trans_ip_nan_perc,179
trans_tunnel_in_nan_perc,181
city_5,182
trans_tunnel_out_std,184
city_31,189
n_op,190
city_35,191
city_24,195
city_15,197
op_ip_3_std,197
city_9,197
trans_platform_std,198
city_19,203
city_0,203
op_ip_perc,204
city_37,205
city_29,206
op_type_n,207
op_mode_std,209
city_30,210
city_11,212
city_18,212
balance1_avg,214
city_36,216
city_41,216
trans_type1_1,218
op_type_perc,220
city_32,220
city_49,222
city_7,227
city_28,227
op1_cnt,228
city_34,229
city_38,230
city_3,232
city_25,233
op_ip_3_perc,234
city_14,242
city_12,243
trans_type2_std,246
city_13,246
city_33,246
city_8,246
op_ip_std,248
trans_type1_perc,253
city_20,260
city_4,265
city_43,272
trans_type1_std,276
city_22,277
city_2,277
city_23,278
service3,280
op_ip_3_ch_freq,281
trans_48h_n,282
op2_cnt,282
city_45,284
balance_avg,285
acc_count,295
city_48,295
city_40,296
trans_ip_std,302
op_channel_std,306
product6_amount,313
product2_amount,314
n_trans,332
op_ip_nan_perc,337
trans_amount_max,342
login_days_cnt,357
city_16,363
op_net_type_nan_perc,365
op_mode_perc,372
op_net_type_std,373
agreement_total,376
op_net_type_perc,395
op_device_std,399
trans_amount_48h_n,436
op_device_perc,451
login_cnt_avg,459
op_channel_perc,459
op_device_nan_perc,465
trans_amount_std,471
ip_cnt,488
op_48h_n,522
product7_cnt,605
login_cnt_period1,606
login_cnt_period2,623
using_time,646
age,741
trans_amount_avg,783
product7_fail_cnt,1032
