column,importance
using_time,4245
age,4183
login_cnt_avg,3848
trans_amount_avg,3172
login_cnt_period2,3080
login_cnt_period1,2914
balance2,2769
op_channel_perc,2684
balance_avg,2677
op_48h_n,2581
login_days_cnt,2549
city_0,2548
op_device_nan_perc,2520
acc_count,2493
product7_fail_cnt,2471
city_37,2381
op_net_type_perc,2363
trans_amount_48h_n,2344
ip_cnt,2273
op_net_type_std,2272
product7_cnt,2225
agreement_total,2220
city_28,2179
op_type_n,2172
op_type_perc,2148
op1_cnt,2063
op_ip_std,2017
op_mode_perc,2014
op_ip_3_std,1980
op_device_std,1957
city_18,1929
city_46,1919
op_ip_3_ch_freq,1909
city_15,1899
op_channel_std,1891
product6_amount,1890
op_ip_nan_perc,1848
city_23,1829
op_net_type_nan_perc,1813
city_36,1805
city_11,1803
op_device_perc,1779
city_16,1760
city_38,1748
city_8,1747
city_35,1739
op_ip_perc,1701
city_22,1698
balance,1672
trans_amount_std,1623
balance1_avg,1622
city_41,1618
city_25,1616
city_45,1616
city_5,1611
trans_48h_n,1584
trans_type2_std,1459
city_14,1435
city_2,1435
city_34,1408
product2_amount,1390
city_7,1381
city_42,1368
city_4,1348
op_mode_std,1321
op_ip_3_perc,1318
trans_ip_std,1317
balance1,1305
n_op,1305
city_40,1304
city_26,1299
city_12,1261
city_1,1235
trans_type1_std,1231
city_33,1222
op_ip_3_n,1198
n_trans,1191
city_32,1190
op_type_std,1176
city_24,1163
op_channel_2,1163
city_19,1160
op_ip_48h_n,1125
city_27,1111
city_9,1095
trans_ip_nan_perc,1084
op2_cnt,1061
city_48,1047
city_3,1016
card_a_cnt,1004
op_ip_n,1002
trans_tunnel_in_perc,1000
trans_tunnel_in_nan_perc,905
regist_type,893
trans_amount_max,870
trans_platform_std,849
op_mode_n,848
trans_tunnel_in_std,839
trans_type1_3,838
city_49,832
city_39,795
trans_type1_0,791
city_47,784
trans_ip_perc,774
city_31,734
city_13,713
city_10,713
city_20,708
trans_ip_3_ch_freq,705
city_29,691
op_channel_n,682
level,676
city_43,663
city_17,654
trans_type1_perc,633
op_channel_0,631
op_channel_1,615
balance2_avg,610
city_44,602
trans_type2_perc,593
city_6,578
card_b_cnt,578
city_30,576
trans_type1_1,511
sex,498
city_21,496
trans_type2_0,495
trans_tunnel_out_std,460
trans_platform_perc,450
agreement2,448
trans_ip_3_perc,419
trans_ip_n,388
op_type_9,385
card_c_cnt,383
service3,381
op_ip_3_nan_perc,358
trans_ip_48h_n,353
op_mode_1,326
trans_type1_2,306
trans_platform_48h_n,295
service1_amt,255
card_d_cnt,247
op_type_4,246
op_type_5,244
provider,243
trans_type2_3,232
trans_ip_3_nan_perc,227
trans_ip_3_std,224
verified,223
trans_platform_n,215
agreement4,212
op_device_48h_n,211
op_mode_8,197
op_mode_6,191
agreement3,176
product1_amount,175
op_channel_4,175
4,168
28,166
2,162
op_mode_5,161
7,157
30,148
trans_tunnel_n,136
op_type_7,124
trans_type2_2,120
trans_type1_4,116
op_type_2,110
trans_type2_4,108
op_mode_9,108
op_channel_3,101
product3_amount,101
trans_tunnel_in_n,88
trans_type2_1,88
op_type_3,87
op_net_type_2,85
27,79
op_mode_0,78
trans_ip_3_n,76
op_net_type_3,64
op_net_type_1,61
11,55
op_mode_4,54
op_mode_7,53
op_type_8,52
20,51
6,51
op_type_1,50
trans_tunnel_in_4,46
8,34
trans_tunnel_in_5,34
trans_tunnel_out_perc,33
trans_platform_1,32
op_mode_3,22
16,21
op_device_n,20
29,20
op_type_0,19
18,19
12,18
op_mode_2,17
op_net_type_0,17
5,14
0,9
25,8
15,8
op_type_6,8
3,7
trans_platform_0,7
19,7
21,4
26,3
service2_cnt,2
24,2
service1_cnt,2
14,0
10,0
13,0
1,0
trans_tunnel_in_1,0
trans_tunnel_in_2,0
trans_tunnel_in_3,0
product5_amount,0
product4_amount,0
17,0
trans_tunnel_out_0,0
trans_tunnel_out_1,0
trans_tunnel_out_2,0
trans_tunnel_out_3,0
22,0
23,0
9,0
trans_platform_2,0
trans_platform_3,0
agreement1,0
trans_tunnel_in_0,0
trans_platform_5,0
trans_platform_4,0
